dataset,group,target,semantic_depth,baseline_semantic_depth,n_pairs,train_r2_delta,test_r2_delta,test_corr_delta,active_columns_delta,width_delta,seed
nfcorpus,bias,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,bias,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,bias,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,bias,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,embedding_projection,dense_advantage_vs_bm25,8,5,1,2.2057288e-05,-0.000129560333,-0.046116938587,0.0,0.0,43
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,8,5,1,-2.2469486e-05,4.8291318e-05,0.021775482125,0.0,0.0,43
nfcorpus,embedding_projection,oracle_margin,8,5,1,0.00012083778,-0.000655470454,-0.070835548188,0.0,0.0,43
nfcorpus,embedding_projection,oracle_reward,8,5,1,0.00010172763,0.00013077771,0.025751500009,0.0,0.0,43
nfcorpus,lexical_semantic_interactions,dense_advantage_vs_bm25,8,5,1,-0.001403065101,-0.001504414129,-0.0088421994,0.0,0.0,43
nfcorpus,lexical_semantic_interactions,hybrid_advantage_vs_bm25,8,5,1,-0.000117907433,6.242621e-05,0.000126450325,0.0,0.0,43
nfcorpus,lexical_semantic_interactions,oracle_margin,8,5,1,0.007336859808,-0.001890554677,0.002254634098,0.0,0.0,43
nfcorpus,lexical_semantic_interactions,oracle_reward,8,5,1,0.000243987135,-0.000220494849,-0.000420003389,0.0,0.0,43
nfcorpus,query_form,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,query_form,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,query_form,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,query_form,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,retrieval_confidence,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,retrieval_confidence,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,8,5,1,-0.086686989862,0.043350347298,0.011460970434,0.0,0.0,43
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,8,5,1,-0.052744731973,0.021153240044,0.078134021232,0.0,0.0,43
nfcorpus,semantic_rank_agreement,oracle_margin,8,5,1,-0.066466544309,0.120538688637,-0.093019599753,0.0,0.0,43
nfcorpus,semantic_rank_agreement,oracle_reward,8,5,1,-0.043601643638,0.104534306631,0.075270249925,0.0,0.0,43
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,8,5,1,0.019922668761,-0.018884629459,-0.0820302391,6.0,6.0,43
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,8,5,1,0.03816760956,-0.007914050417,-0.046410026477,6.0,6.0,43
nfcorpus,semantic_rank_profile,oracle_margin,8,5,1,0.081495166567,-0.138148113256,-0.236870471716,6.0,6.0,43
nfcorpus,semantic_rank_profile,oracle_reward,8,5,1,0.010050440894,0.001036896543,0.043036814082,6.0,6.0,43
nfcorpus,semantic_score_shape,dense_advantage_vs_bm25,8,5,1,-0.003899556008,-0.001385642398,0.000267774364,0.0,0.0,43
nfcorpus,semantic_score_shape,hybrid_advantage_vs_bm25,8,5,1,-0.001930600394,0.001794942211,0.044991192371,0.0,0.0,43
nfcorpus,semantic_score_shape,oracle_margin,8,5,1,0.007133646741,-0.006476934844,-0.095594738693,0.0,0.0,43
nfcorpus,semantic_score_shape,oracle_reward,8,5,1,0.001875631577,-0.004320397286,-0.071889251146,0.0,0.0,43
nfcorpus,semantic_summary,dense_advantage_vs_bm25,8,5,1,-0.023888382741,-0.005357173999,0.003471400846,0.0,0.0,43
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,8,5,1,-0.004375887484,0.00318127058,0.040564948405,0.0,0.0,43
nfcorpus,semantic_summary,oracle_margin,8,5,1,0.032423312974,-0.009103398972,0.045397471764,0.0,0.0,43
nfcorpus,semantic_summary,oracle_reward,8,5,1,-0.004988419749,-0.006496132358,-0.002868081402,0.0,0.0,43
nfcorpus,wh_word,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,wh_word,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,wh_word,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,43
nfcorpus,wh_word,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,43
